epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.46199,3.95369,5.19466,4.34692,0,0,0,0,3.86252,5.06888,4.16251,5e-05,5e-05,5e-05
2,6.36919,3.89401,5.10122,4.25198,0,0,0,0,3.8783,5.07169,4.16597,0.000102921,0.000102921,0.000102921
3,9.27573,3.46354,4.92728,4.1653,0,0,0,0,3.91816,5.08254,4.17573,0.000153664,0.000153664,0.000153664
4,12.1462,3.07252,4.67586,4.0415,0,0,0,0,3.98046,5.10299,4.19907,0.000202229,0.000202229,0.000202229
5,15.0251,2.89943,4.4016,3.78942,0,0,0,0,4.06517,5.13393,4.23906,0.000248616,0.000248616,0.000248616
6,17.9204,2.70493,4.19349,3.55557,0,0,0,0,4.13205,5.15991,4.28451,0.000292825,0.000292825,0.000292825
7,20.7795,2.53,4.02756,3.39764,0,0,0,0,4.15857,5.16796,4.31319,0.000334856,0.000334856,0.000334856
8,23.6712,2.45134,3.84139,3.15424,0,0,0,0,4.16123,5.16285,4.33325,0.000374709,0.000374709,0.000374709
9,26.5524,2.33616,3.64782,2.99457,0,0,0,0,4.15376,5.15349,4.33024,0.000412384,0.000412384,0.000412384
10,29.4543,2.26746,3.4693,2.92151,0,0,0,0,4.15208,5.13861,4.32699,0.0004109,0.0004109,0.0004109
11,32.4147,2.20956,3.27738,2.82055,0,0,0,0,4.16191,5.13195,4.33591,0.000401,0.000401,0.000401
12,35.3782,2.17484,3.11752,2.74929,0,0,0,0,4.14235,5.10788,4.30282,0.0003911,0.0003911,0.0003911
13,38.3243,2.07195,2.93869,2.60595,0,0,0,0,4.08037,5.01138,4.17894,0.0003812,0.0003812,0.0003812
14,41.7405,2.08247,2.87332,2.63514,0.03818,0.08704,0.04972,0.00792,3.7643,4.24632,3.76168,0.0003713,0.0003713,0.0003713
15,44.7041,1.9192,2.72445,2.46774,0.05179,0.56903,0.09455,0.02458,3.44254,3.7434,3.44644,0.0003614,0.0003614,0.0003614
16,47.6766,1.97133,2.64054,2.43806,0.44788,0.28982,0.24351,0.09237,2.50823,3.01411,2.82732,0.0003515,0.0003515,0.0003515
17,50.6175,1.91625,2.59978,2.42744,0.38327,0.2214,0.29329,0.10609,2.51475,2.68652,2.78096,0.0003416,0.0003416,0.0003416
18,53.5931,1.81853,2.5485,2.35692,0.3844,0.37114,0.40931,0.23695,1.65281,2.30951,2.33801,0.0003317,0.0003317,0.0003317
19,56.5604,1.75321,2.46515,2.26376,0.49819,0.38584,0.42842,0.27122,1.46648,2.34267,2.26731,0.0003218,0.0003218,0.0003218
20,59.5359,1.74117,2.39894,2.22001,0.54958,0.3614,0.42562,0.26955,1.4522,2.45243,2.233,0.0003119,0.0003119,0.0003119
21,62.4915,1.7466,2.3787,2.2007,0.63475,0.34345,0.39717,0.22623,1.69902,2.59808,2.35494,0.000302,0.000302,0.000302
22,65.4601,1.65285,2.23585,2.05902,0.58567,0.38021,0.40029,0.19364,1.9058,2.63123,2.39098,0.0002921,0.0002921,0.0002921
23,68.4249,1.74324,2.32023,2.15325,0.72475,0.42899,0.57134,0.39818,1.2553,2.09841,2.00079,0.0002822,0.0002822,0.0002822
24,71.4088,1.60673,2.17428,2.04022,0.53091,0.66477,0.59162,0.39068,1.40245,1.94075,2.07763,0.0002723,0.0002723,0.0002723
25,74.3603,1.51966,2.12045,2.03611,0.62879,0.50559,0.6045,0.42785,1.2356,2.04518,1.99073,0.0002624,0.0002624,0.0002624
26,77.3535,1.58885,2.09768,2.02448,0.64036,0.53786,0.6147,0.42342,1.26739,1.98408,1.96085,0.0002525,0.0002525,0.0002525
27,80.2951,1.48503,2.03181,1.97847,0.61758,0.59097,0.64727,0.45922,1.19966,1.89224,1.90754,0.0002426,0.0002426,0.0002426
28,83.2645,1.48951,2.01863,1.91237,0.61309,0.6864,0.69471,0.43457,1.39329,1.79415,1.99907,0.0002327,0.0002327,0.0002327
29,86.1958,1.48058,1.98429,1.94043,0.67372,0.70386,0.72064,0.49615,1.18003,1.82374,1.90711,0.0002228,0.0002228,0.0002228
